[Sun Oct 22 18:00:00 KST 2023] Script started

> product_crawling@1.0.58 update:shop
> ts-node ./home_shopping_update

Start fetching shop list 2023-10-22T09:00:05.105Z
[1/177] Complete schedule_id: 332 https://m.livehs.co.kr/product/detail/338226162 2023-10-22T09:00:06.402Z
[2/177] Complete schedule_id: 333 https://m.livehs.co.kr/product/detail/338226458 2023-10-22T09:00:07.386Z
[3/177] Complete schedule_id: 334 https://m.livehs.co.kr/product/detail/338233688 2023-10-22T09:00:08.288Z
[4/177] Complete schedule_id: 335 https://m.livehs.co.kr/product/detail/338226165 2023-10-22T09:00:09.292Z
[5/177] Complete schedule_id: 336 https://m.livehs.co.kr/product/detail/338226167 2023-10-22T09:00:10.215Z
[6/177] Complete schedule_id: 337 https://m.livehs.co.kr/product/detail/338226462 2023-10-22T09:00:11.149Z
[7/177] Complete schedule_id: 338 https://m.livehs.co.kr/product/detail/338226403 2023-10-22T09:00:12.062Z
[8/177] Complete schedule_id: 339 https://m.livehs.co.kr/product/detail/338497612 2023-10-22T09:00:13.089Z
[9/177] Complete schedule_id: 340 https://m.livehs.co.kr/product/detail/338226432 2023-10-22T09:00:13.999Z
[10/177] Complete schedule_id: 341 https://m.livehs.co.kr/product/detail/338360890 2023-10-22T09:00:14.838Z
[11/177] Complete schedule_id: 342 https://m.livehs.co.kr/product/detail/338226168 2023-10-22T09:00:15.750Z
[12/177] Complete schedule_id: 343 https://m.livehs.co.kr/product/detail/338598236 2023-10-22T09:00:16.774Z
[13/177] Complete schedule_id: 344 https://m.livehs.co.kr/product/detail/338318603 2023-10-22T09:00:17.688Z
[14/177] Complete schedule_id: 345 https://m.livehs.co.kr/product/detail/338226436 2023-10-22T09:00:18.600Z
[15/177] Complete schedule_id: 346 https://m.livehs.co.kr/product/detail/338226467 2023-10-22T09:00:20.036Z
[16/177] Complete schedule_id: 347 https://m.livehs.co.kr/product/detail/338226322 2023-10-22T09:00:20.930Z
[17/177] Complete schedule_id: 348 https://m.livehs.co.kr/product/detail/338226170 2023-10-22T09:00:21.796Z
[18/177] Complete schedule_id: 349 https://m.livehs.co.kr/product/detail/338226442 2023-10-22T09:00:22.704Z
[19/177] Complete schedule_id: 350 https://m.livehs.co.kr/product/detail/338226176 2023-10-22T09:00:23.602Z
[20/177] Complete schedule_id: 351 https://m.livehs.co.kr/product/detail/338233726 2023-10-22T09:00:24.547Z
[21/177] Complete schedule_id: 352 https://m.livehs.co.kr/product/detail/338226184 2023-10-22T09:00:25.465Z
[22/177] Complete schedule_id: 353 https://m.livehs.co.kr/product/detail/338546049 2023-10-22T09:00:26.379Z
[23/177] Complete schedule_id: 354 https://m.livehs.co.kr/product/detail/338233732 2023-10-22T09:00:27.717Z
[24/177] Complete schedule_id: 355 https://m.livehs.co.kr/product/detail/338360958 2023-10-22T09:00:28.585Z
[25/177] Complete schedule_id: 356 https://m.livehs.co.kr/product/detail/338226173 2023-10-22T09:00:29.501Z
[26/177] Complete schedule_id: 357 https://m.livehs.co.kr/product/detail/338226326 2023-10-22T09:00:30.465Z
[27/177] Complete schedule_id: 358 https://m.livehs.co.kr/product/detail/338339426 2023-10-22T09:00:31.423Z
[28/177] Complete schedule_id: 359 https://m.livehs.co.kr/product/detail/338226445 2023-10-22T09:00:32.281Z
[29/177] Complete schedule_id: 360 https://m.livehs.co.kr/product/detail/338233752 2023-10-22T09:00:33.256Z
[30/177] Complete schedule_id: 361 https://m.livehs.co.kr/product/detail/338226456 2023-10-22T09:00:34.178Z
[31/177] Complete schedule_id: 362 https://m.livehs.co.kr/product/detail/338453684 2023-10-22T09:00:35.094Z
[32/177] Complete schedule_id: 363 https://m.livehs.co.kr/product/detail/338453406 2023-10-22T09:00:36.042Z
[33/177] Complete schedule_id: 364 https://m.livehs.co.kr/product/detail/338720590 2023-10-22T09:00:37.141Z
[34/177] Complete schedule_id: 365 https://m.livehs.co.kr/product/detail/338453409 2023-10-22T09:00:38.042Z
[35/177] Complete schedule_id: 366 https://m.livehs.co.kr/product/detail/338566236 2023-10-22T09:00:38.964Z
[36/177] Complete schedule_id: 367 https://m.livehs.co.kr/product/detail/338453686 2023-10-22T09:00:39.828Z
[37/177] Complete schedule_id: 368 https://m.livehs.co.kr/product/detail/338453391 2023-10-22T09:00:40.726Z
[38/177] Complete schedule_id: 369 https://m.livehs.co.kr/product/detail/338461154 2023-10-22T09:00:41.658Z
[39/177] Complete schedule_id: 370 https://m.livehs.co.kr/product/detail/338720595 2023-10-22T09:00:42.760Z
[40/177] Complete schedule_id: 371 https://m.livehs.co.kr/product/detail/338453394 2023-10-22T09:00:43.600Z
